time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,asset_pair
2022-07-22,2022-07-23T00:00:00.0000000Z,2022-07-22T00:00:00.0010000Z,2022-07-22T23:59:59.9990000Z,23152.19,23756.49,22500.0,22684.83,171598.43966,4745582,BINANCE_SPOT_BTC_USDT
2022-07-23,2022-07-24T00:00:00.0000000Z,2022-07-23T00:00:00.0000000Z,2022-07-23T23:59:59.9980000Z,22684.83,23000.77,21934.57,22451.07,122121.15502,3761423,BINANCE_SPOT_BTC_USDT
2022-07-24,2022-07-25T00:00:00.0000000Z,2022-07-24T00:00:00.0020000Z,2022-07-24T23:59:59.9990000Z,22448.58,23014.64,22257.15,22579.68,115189.67277,3671238,BINANCE_SPOT_BTC_USDT
2022-07-25,2022-07-26T00:00:00.0000000Z,2022-07-25T00:00:00.0020000Z,2022-07-25T23:59:59.9990000Z,22577.13,22666.0,21250.0,21310.9,180305.17761,4805987,BINANCE_SPOT_BTC_USDT
2022-07-26,2022-07-27T00:00:00.0000000Z,2022-07-26T00:00:00.0000000Z,2022-07-26T23:59:59.9990000Z,21310.9,21347.82,20706.5,21254.67,177817.24326,4545385,BINANCE_SPOT_BTC_USDT
2022-07-27,2022-07-28T00:00:00.0000000Z,2022-07-27T00:00:00.0010000Z,2022-07-27T23:59:59.9970000Z,21254.67,23112.63,21042.53,22952.45,210971.19796,5475738,BINANCE_SPOT_BTC_USDT
2022-07-28,2022-07-29T00:00:00.0000000Z,2022-07-28T00:00:00.0000000Z,2022-07-28T23:59:59.9960000Z,22954.31,24199.72,22582.13,23842.93,236029.0741,6500034,BINANCE_SPOT_BTC_USDT
2022-07-29,2022-07-30T00:00:00.0000000Z,2022-07-29T00:00:00.0010000Z,2022-07-29T23:59:59.9980000Z,23845.25,24442.66,23414.03,23773.75,198280.88422,6220423,BINANCE_SPOT_BTC_USDT
2022-07-30,2022-07-31T00:00:00.0000000Z,2022-07-30T00:00:00.0000000Z,2022-07-30T23:59:59.9960000Z,23777.28,24668.0,23502.25,23643.51,151060.13211,4801528,BINANCE_SPOT_BTC_USDT
2022-07-31,2022-08-01T00:00:00.0000000Z,2022-07-31T00:00:00.0000000Z,2022-07-31T23:59:59.9990000Z,23644.64,24194.82,23227.31,23293.32,127648.84231999998,4461060,BINANCE_SPOT_BTC_USDT
